3in1_file_path,3in1_sorting_clause,3in1_time,3in1_k,3in1_solver,3in1_neg_state,3in1_num_s,3in1_num_t,3in1_num_gen,3in1_status,3in1_frame_sizes,3in1_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e8_207.lus,base,0.005,0,1,0,0,0,Not Found,invalid,Not Found,0.341
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_64_e7_80.lus,l1l2,0.010,1,9,1,0,0,Not Found,invalid,0,0.341
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e8_48.lus,l1l2,0.006,0,2,0,0,0,Not Found,invalid,Not Found,0.344
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter2.lus,l1l2,0.056,4,203,7,2,1,Not Found,invalid,3 2 1 0,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27_e7_31.lus,l1l2,0.058,4,191,4,1,0,Not Found,valid,6 5 3,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_76.lus,l1l2,0.054,4,197,4,1,0,Not Found,valid,6 5 3,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark_e7_27.lus,l1l2,0.054,4,197,4,1,0,Not Found,valid,6 5 3,0.394
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/_6counter.lus,base,0.167,5,532,10,1,0,Not Found,invalid,7 5 3 2 1,0.503
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch2.lus,l1l2,0.012,1,19,2,0,0,Not Found,invalid,0,0.351
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/switch.lus,base,0.012,1,19,2,0,0,Not Found,invalid,0,0.350
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/misc/stalmark.lus,l1l2,0.035,3,130,4,0,0,Not Found,valid,4 2,0.380
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_21.lus,base,0.010,0,2,0,0,0,Not Found,invalid,Not Found,0.342
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,l1l2,0.009,0,2,0,0,0,Not Found,invalid,Not Found,0.344
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,l1l2,0.009,0,2,0,0,0,Not Found,invalid,Not Found,0.342
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,base,0.042,2,73,5,0,0,Not Found,valid,5,0.372
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,base,0.042,1,53,5,0,0,Not Found,invalid,3,0.374
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell.lus,base,0.042,2,73,5,0,0,Not Found,valid,5,0.371
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/production_cell_e8_6.lus,l1l2,0.050,2,74,5,0,0,Not Found,valid,5,0.382
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,l1l2,0.037,2,35,2,0,0,Not Found,valid,2,0.366
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834.lus,l1l2,0.060,3,78,2,0,0,Not Found,valid,2 1,0.396
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway.lus,base,0.183,3,295,10,1,0,Not Found,valid,8 4,0.520
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,base,0.190,3,296,10,1,0,Not Found,valid,8 4,0.529
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e8_1032.lus,base,0.067,2,46,3,0,0,Not Found,valid,3,0.398
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums_e7_1700.lus,base,0.214,1,141,9,0,0,Not Found,invalid,7,0.581
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Bool/simulation/ums.lus,base,0.051,2,33,2,0,0,Not Found,valid,2,0.388
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave02.lus,base,0.021,2,12,0,0,0,Not Found,valid,0,0.420
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave03.lus,l1l2,0.028,2,12,0,0,0,Not Found,valid,0,0.443
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave04.lus,base,0.033,2,12,0,0,0,Not Found,valid,0,0.442
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave01.lus,base,0.500,3,78,2,0,0,Not Found,valid,1 0,0.916
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave12.lus,l1l2,0.334,1,28,3,0,0,Not Found,invalid,0,0.707
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave05.lus,l1l2,2.721,1,134,9,0,0,Not Found,valid,9,278.747
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave14.lus,base,0.781,2,66,5,0,0,Not Found,invalid,0,1.203
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave15.lus,l1l2,0.029,2,12,0,0,0,Not Found,valid,0,0.426
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave16.lus,base,0.024,2,12,0,0,0,Not Found,valid,0,0.424
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave17.lus,base,1.140,3,285,8,0,0,Not Found,valid,8 4,1.564
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave18.lus,l1l2,0.833,2,57,4,0,0,Not Found,invalid,0,1.249
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave19.lus,base,3.673,3,253,8,0,0,Not Found,valid,7 3,4.387
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave20.lus,base,0.030,2,13,0,0,0,Not Found,invalid,0,0.441
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave06.lus,base,71.657,21,21648,66,0,1,Not Found,timeout,22 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1,290.147
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave07.lus,base,0.655,2,102,5,1,0,Not Found,timeout,5 2,290.256
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave08.lus,base,0.496,1,30,3,0,0,Not Found,timeout,3,290.199
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave09.lus,base,22.879,16,7858,22,0,0,Not Found,timeout,17 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1,290.188
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave10.lus,base,116.505,6,21064,181,0,7,Not Found,timeout,35 31 29 28 27 26,290.157
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave11.lus,base,169.440,8,3239,47,0,6,Not Found,timeout,9 7 6 5 4 3 2 1,290.122
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave25.lus,base,0.042,2,13,0,0,0,Not Found,invalid,0,0.465
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave13.lus,base,3.617,5,900,18,0,0,Not Found,timeout,6 4 3 2 1,290.195
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave23.lus,l1l2,1.012,1,41,4,0,0,Not Found,invalid,2,1.413
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave28.lus,base,0.898,2,53,4,0,0,Not Found,invalid,0,1.322
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave30.lus,l1l2,1.373,1,107,7,0,0,Not Found,valid,7,5.457
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave24.lus,base,7.862,4,484,9,0,0,Not Found,valid,3 1 0,8.594
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave31.lus,l1l2,3.548,1,83,6,0,0,Not Found,invalid,6,6.842
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave29.lus,base,6.844,3,558,14,0,0,Not Found,valid,17 8,7.555
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave32.lus,base,3.330,2,318,12,0,0,Not Found,invalid,0,4.052
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave34.lus,l1l2,4.189,1,132,9,0,0,Not Found,invalid,9,5.783
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave36.lus,l1l2,5.104,1,219,13,0,0,Not Found,invalid,13,11.346
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave33.lus,l1l2,3.074,1,135,9,0,0,Not Found,invalid,9,16.646
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave39.lus,l1l2,4.370,2,305,15,0,0,Not Found,invalid,15,4.700
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave40.lus,base,0.035,2,13,0,0,0,Not Found,invalid,0,0.451
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1_e4_23904_e4_2384.lus,l1l2,0.263,2,12,0,0,0,Not Found,valid,0,0.763
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1.lus,l1l2,0.166,2,12,0,0,0,Not Found,valid,0,0.674
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e1_17214_e5_18600.lus,base,0.060,3,57,1,0,0,Not Found,valid,1 0,0.422
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e3_514_e4_11150.lus,base,0.057,3,57,1,0,0,Not Found,valid,1 0,0.417
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e6_3003_e4_15091.lus,base,0.060,3,57,1,0,0,Not Found,valid,1 0,0.420
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e7_12307.lus,l1l2,0.068,3,57,1,0,0,Not Found,valid,1 0,0.418
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e8_21449_e5_18210.lus,base,0.105,3,106,2,0,0,Not Found,valid,2 0,0.470
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2.lus,base,0.060,3,57,1,0,0,Not Found,valid,1 0,0.423
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e1_3587_e3_2749.lus,l1l2,0.088,2,39,2,0,0,Not Found,valid,2,0.440
