3in1_file_path,3in1_sorting_clause,3in1_time,3in1_k,3in1_solver,3in1_neg_state,3in1_num_s,3in1_num_t,3in1_num_gen,3in1_status,3in1_frame_sizes,3in1_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave12.lus,base,0.312,2,38,3,0,0,Not Found,invalid,0,0.722
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave13.lus,base,39.202,16,11911,80,0,7,Not Found,timeout,18 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1,290.153
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave14.lus,base,0.795,2,66,5,0,0,Not Found,invalid,0,1.211
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave15.lus,base,0.022,2,12,0,0,0,Not Found,valid,0,0.464
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave16.lus,base,0.03,2,12,0,0,0,Not Found,valid,0,0.424
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave17.lus,base,1.058,3,285,8,0,0,Not Found,valid,8 4,1.478
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave18.lus,base,0.792,2,57,4,0,0,Not Found,invalid,0,1.203
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave19.lus,base,1.71,3,254,8,0,0,Not Found,valid,7 3,2.114
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave20.lus,base,0.03,2,13,0,0,0,Not Found,invalid,0,0.453
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave21.lus,base,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.112
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave22.lus,base,107.91,1,266,16,0,0,Not Found,timeout,16,290.113
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave23.lus,base,1.07,2,55,4,0,0,Not Found,invalid,0,1.482
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave24.lus,base,7.635,4,484,9,0,0,Not Found,valid,3 1 0,8.045
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave25.lus,base,0.031,2,13,0,0,0,Not Found,invalid,0,0.459
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave26.lus,base,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.113
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave27.lus,base,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.113
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave28.lus,base,0.887,2,53,4,0,0,Not Found,invalid,0,1.301
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave29.lus,base,6.718,3,558,14,0,0,Not Found,valid,17 8,7.126
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave30.lus,base,22.647,2,298,10,1,0,Not Found,timeout,9 4,290.113
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave31.lus,base,5.084,1,104,7,0,0,Not Found,timeout,7,290.113
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave32.lus,base,3.244,2,318,12,0,0,Not Found,invalid,0,3.667
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave33.lus,base,3.006,1,135,9,0,0,Not Found,invalid,9,37.636
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave34.lus,base,220.337,2,234,12,1,0,Not Found,invalid,0,220.676
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave35.lus,base,3.85,1,172,11,0,0,Not Found,timeout,11,290.112
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave36.lus,base,7.022,2,372,16,0,0,Not Found,invalid,0,7.43
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave37.lus,base,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.113
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave38.lus,base,42.585,1,231,14,0,0,Not Found,timeout,14,290.113
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave39.lus,base,10.045,2,462,21,0,0,Not Found,invalid,0,10.448
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave40.lus,base,0.032,2,13,0,0,0,Not Found,invalid,0,0.452
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1.lus,base,0.151,2,12,0,0,0,Not Found,valid,0,0.67
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1_e4_23904_e4_2384.lus,base,0.246,2,12,0,0,0,Not Found,valid,0,0.767
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2.lus,base,0.055,3,57,1,0,0,Not Found,valid,1 0,0.407
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e1_17214_e5_18600.lus,base,0.055,3,57,1,0,0,Not Found,valid,1 0,0.427
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e3_514_e4_11150.lus,base,0.053,3,57,1,0,0,Not Found,valid,1 0,0.407
