Reuse_file_path,Reuse_time,Reuse_k,Reuse_solver,Reuse_neg_state,Reuse_num_s,Reuse_num_t,Reuse_num_gen,Reuse_status,Reuse_frame_sizes,Reuse_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13.lus,7.823,5,3969,29,7,2,Not Found,safe,40 35 26 14,8.221
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e3_1418_e3_2761.lus,0.32,1,104,7,0,0,Not Found,timeout,7,290.129
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14.lus,252.688,8,35502,87,7,16,Not Found,timeout,121 116 104 100 92 74 50 24,290.145
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e1_5710.lus,215.795,6,33540,92,11,9,Not Found,timeout,129 121 114 102 77 39,290.134
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e2_3606.lus,275.246,11,38835,97,9,11,Not Found,timeout,128 123 118 115 113 111 109 98 80 58 31,290.139
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e3_1259_e1_5798.lus,148.307,10,26488,60,13,9,Not Found,timeout,56 49 43 41 38 36 33 28 23 16,290.129
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e3_5120.lus,235.578,11,30863,77,12,15,Not Found,timeout,70 65 59 56 54 52 50 47 38 26 16,290.139
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162.lus,0.927,2,464,14,1,0,Not Found,unsafe,15 8,1.315
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e1_3998.lus,3.987,2,1996,19,1,0,Not Found,unsafe,28 12,4.383
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e2_753.lus,1.115,2,680,16,2,0,Not Found,unsafe,19 10,1.505
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e3_4298.lus,0.738,2,349,11,1,0,Not Found,unsafe,12 6,1.121
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e7_3528.lus,0.588,2,280,10,1,0,Not Found,unsafe,11 5,0.974
